id,project,label,identifier,enabled,data,modularClassTags,geometryObjects,nodeObject_to,nodeObject_from
627,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_837993,True,{'Length': 2.3697916667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/467/?format=json'],"[{'name': 'level', 'nodeObject_to': 377}]",[]
628,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_838023,True,{'Length': 3.6041666667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/468/?format=json'],"[{'name': 'level', 'nodeObject_to': 377}]",[]
629,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_838392,True,{'Length': 9.828125},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/469/?format=json'],"[{'name': 'level', 'nodeObject_to': 377}]",[]
630,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_838393,True,{'Length': 2.3854166667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/470/?format=json'],"[{'name': 'level', 'nodeObject_to': 377}]",[]
631,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_838394,True,{'Length': 2.8020833333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/471/?format=json'],"[{'name': 'level', 'nodeObject_to': 377}]",[]
632,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_841004,True,{'Length': 23.8333333333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/472/?format=json'],"[{'name': 'level', 'nodeObject_to': 378}]",[]
633,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_851333,True,{'Length': 20.5709302096},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/473/?format=json'],"[{'name': 'level', 'nodeObject_to': 382}]",[]
634,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_881705,True,{'Length': 23.7916666667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/474/?format=json'],"[{'name': 'level', 'nodeObject_to': 382}]",[]
635,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_881706,True,{'Length': 23.7916666667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/475/?format=json'],"[{'name': 'level', 'nodeObject_to': 382}]",[]
636,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_881716,True,{'Length': 7.0260416667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/476/?format=json'],"[{'name': 'level', 'nodeObject_to': 385}]",[]
637,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_881717,True,{'Length': 17.0416666667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/477/?format=json'],"[{'name': 'level', 'nodeObject_to': 385}]",[]
638,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_881721,True,{'Length': 7},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/478/?format=json'],"[{'name': 'level', 'nodeObject_to': 385}]",[]
639,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_881724,True,{'Length': 23},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/479/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
640,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_882800,True,{'Length': 10.0052083333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/480/?format=json'],"[{'name': 'level', 'nodeObject_to': 385}]","[{'name': 'host', 'nodeObject_from': 754}, {'name': 'host', 'nodeObject_from': 755}, {'name': 'host', 'nodeObject_from': 756}, {'name': 'host', 'nodeObject_from': 757}, {'name': 'host', 'nodeObject_from': 758}]"
641,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_887288,True,{'Length': 5.5885416667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/481/?format=json'],"[{'name': 'level', 'nodeObject_to': 385}]",[]
642,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_887308,True,{'Length': 9.9166666667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/482/?format=json'],"[{'name': 'level', 'nodeObject_to': 385}]",[]
643,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_887347,True,{'Length': 5.8958333333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/483/?format=json'],"[{'name': 'level', 'nodeObject_to': 385}]",[]
644,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_887939,True,{'Length': 5.1770833333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/484/?format=json'],"[{'name': 'level', 'nodeObject_to': 385}]",[]
645,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_888013,True,{'Length': 5.671875},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/485/?format=json'],"[{'name': 'level', 'nodeObject_to': 385}]",[]
646,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_888106,True,{'Length': 5.8229166667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/486/?format=json'],"[{'name': 'level', 'nodeObject_to': 383}]","[{'name': 'host', 'nodeObject_from': 761}]"
647,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_888260,True,{'Length': 5.6875},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/487/?format=json'],"[{'name': 'level', 'nodeObject_to': 383}]","[{'name': 'host', 'nodeObject_from': 760}]"
648,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_889286,True,{'Length': 12.5729166667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/488/?format=json'],"[{'name': 'level', 'nodeObject_to': 385}]",[]
649,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_900303,True,{'Length': 9.625},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/489/?format=json'],"[{'name': 'level', 'nodeObject_to': 382}]","[{'name': 'host', 'nodeObject_from': 765}]"
650,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_900615,True,{'Length': 9.5729166667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/490/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
651,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_900745,True,{'Length': 16.0833333333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/491/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
652,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_900781,True,{'Length': 4.03125},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/492/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
653,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_901005,True,{'Length': 9.625},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/493/?format=json'],"[{'name': 'level', 'nodeObject_to': 374}]",[]
654,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_901006,True,{'Length': 3.8802083333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/494/?format=json'],"[{'name': 'level', 'nodeObject_to': 374}]",[]
655,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_901063,True,{'Length': 9.625},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/495/?format=json'],"[{'name': 'level', 'nodeObject_to': 377}]",[]
656,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_901064,True,{'Length': 3.8802083333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/496/?format=json'],"[{'name': 'level', 'nodeObject_to': 377}]",[]
657,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_901119,True,{'Length': 9.3385416667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/497/?format=json'],"[{'name': 'level', 'nodeObject_to': 378}]",[]
